implementation,command,sample,wall_us,user_us,system_us,peak_rss_kib,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
rust,root-help,164,2131.924,1031.000,1031.000,6652,350,0,1,0
rust,root-help,165,2428.371,0.000,2360.000,6540,349,0,1,0
go,root-help,165,4824.163,3511.000,2341.000,13216,748,0,63,4
go,root-help,166,4847.567,1272.000,5089.000,13404,804,0,63,5
rust,root-help,166,2893.937,1151.000,1151.000,6664,350,0,1,1
rust,root-help,167,2199.382,0.000,1956.000,6556,349,0,1,0
go,root-help,167,6171.514,4387.000,2925.000,13404,819,0,67,4
go,root-help,168,6102.374,5623.000,2249.000,13428,805,0,67,3
rust,root-help,168,2318.395,0.000,2220.000,6408,355,0,1,1
rust,root-help,169,3310.210,0.000,3204.000,6616,351,0,1,1
go,root-help,169,4710.228,1551.000,4654.000,13436,805,0,62,0
go,root-help,170,5501.105,4065.000,3049.000,13148,758,0,69,2
rust,root-help,170,2473.307,1198.000,1198.000,6592,350,0,1,0
rust,root-help,171,1663.153,0.000,1586.000,6556,349,0,1,0
go,root-help,171,5043.204,957.000,5746.000,13436,829,0,74,0
go,root-help,172,5537.995,1973.000,4934.000,13440,810,0,73,0
rust,root-help,172,1878.870,0.000,1773.000,6720,348,0,1,0
rust,root-help,173,1538.670,0.000,1438.000,6552,350,0,1,1
go,root-help,173,5093.179,1799.000,4497.000,13404,794,0,57,0
go,root-help,174,6158.961,1322.000,6612.000,13304,798,0,71,0
rust,root-help,174,2275.004,895.000,895.000,6668,349,0,1,1
rust,root-help,175,1883.949,0.000,1766.000,6560,350,0,1,0
go,root-help,175,5853.657,1127.000,6763.000,13604,844,0,76,0
go,root-help,176,7113.834,2562.000,6406.000,13564,840,0,83,0
rust,root-help,176,2673.883,1300.000,1300.000,6724,350,0,1,0
rust,root-help,177,2544.972,0.000,2475.000,6724,349,0,1,0
go,root-help,177,5773.968,1087.000,6526.000,13416,813,0,63,0
go,root-help,178,5325.464,3839.000,2879.000,13404,818,0,65,0
rust,root-help,178,2250.468,0.000,2160.000,6588,350,0,1,1
rust,root-help,179,2411.770,770.000,1540.000,6632,351,0,1,0
go,root-help,179,5016.524,0.000,6393.000,13180,764,0,68,1
go,root-help,180,6119.155,3851.000,3851.000,13404,831,0,78,1
rust,root-help,180,2979.346,0.000,2365.000,6564,350,0,1,1
rust,root-help,181,2353.782,1133.000,1133.000,6784,352,0,1,0
go,root-help,181,4947.725,3422.000,3422.000,13604,864,0,74,0
go,root-help,182,5873.274,2954.000,3939.000,13404,821,0,72,1
rust,root-help,182,2122.888,0.000,2062.000,6500,350,0,1,0
rust,root-help,183,2299.650,1118.000,1118.000,6792,349,0,1,1
go,root-help,183,4884.636,2069.000,4139.000,13420,812,0,68,0
go,root-help,184,4350.252,2368.000,3158.000,13228,788,0,58,0
rust,root-help,184,2382.676,1164.000,1164.000,6596,350,0,1,0
rust,root-help,185,1966.104,948.000,948.000,6592,350,0,1,0
go,root-help,185,4762.808,2334.000,3502.000,13476,808,0,69,0
go,root-help,186,4604.310,4303.000,1434.000,13436,808,0,67,1
rust,root-help,186,2523.380,1210.000,1210.000,6604,350,0,1,0
rust,root-help,187,1933.582,0.000,1834.000,6712,350,0,1,0
