implementation,command,sample,wall_us,user_us,system_us,peak_rss_kib,minor_faults,major_faults,voluntary_context_switches,involuntary_context_switches
rust,root-help,107,2715.612,0.000,2236.000,6684,350,0,1,2
go,root-help,107,4831.205,2828.000,1885.000,13184,687,0,42,39
go,root-help,108,4872.924,1908.000,2863.000,13184,696,0,34,32
rust,root-help,108,2149.348,0.000,2060.000,6744,352,0,1,1
rust,root-help,109,2325.259,918.000,918.000,6648,348,0,1,2
go,root-help,109,4501.997,2637.000,1758.000,13176,690,0,36,34
go,root-help,110,4418.121,2164.000,2164.000,13220,698,0,16,11
rust,root-help,110,2389.158,0.000,2292.000,6296,357,0,1,2
rust,root-help,111,2055.572,991.000,991.000,6664,351,0,1,1
go,root-help,111,4512.237,0.000,4071.000,13176,691,0,18,15
go,root-help,112,5119.577,2756.000,1837.000,13148,708,0,40,35
rust,root-help,112,2275.295,0.000,2208.000,6640,350,0,1,1
rust,root-help,113,2074.979,2007.000,0.000,6660,350,0,1,1
go,root-help,113,4369.228,983.000,2950.000,13180,689,0,14,9
go,root-help,114,4661.768,902.000,3608.000,13180,692,0,20,12
rust,root-help,114,2064.528,1998.000,0.000,6508,350,0,1,1
rust,root-help,115,2426.789,0.000,1944.000,6620,349,0,1,2
go,root-help,115,5409.222,3203.000,1601.000,13216,690,0,44,40
go,root-help,116,4694.960,2280.000,2280.000,13180,687,0,33,28
rust,root-help,116,2112.169,0.000,2049.000,6792,351,0,1,1
rust,root-help,117,1855.094,0.000,1771.000,6848,350,0,1,1
go,root-help,117,4501.798,2016.000,2016.000,13184,695,0,14,9
go,root-help,118,4549.948,798.000,3195.000,13020,681,0,15,11
rust,root-help,118,1782.889,0.000,1722.000,6760,351,0,1,2
rust,root-help,119,1684.365,0.000,1631.000,6576,350,0,1,1
go,root-help,119,4480.917,872.000,3490.000,13164,697,0,18,14
go,root-help,120,5401.408,2911.000,1941.000,13172,707,0,42,34
rust,root-help,120,2100.185,0.000,2035.000,6604,350,0,1,1
rust,root-help,121,2861.567,1555.000,777.000,6360,351,0,1,3
go,root-help,121,5891.928,4411.000,882.000,13012,680,0,13,8
go,root-help,122,6242.106,2827.000,2827.000,13148,704,0,30,24
rust,root-help,122,3357.978,901.000,1802.000,6664,350,0,1,2
rust,root-help,123,2518.842,0.000,2418.000,6800,351,0,1,2
go,root-help,123,4921.325,3835.000,958.000,13180,693,0,14,10
go,root-help,124,6173.798,2796.000,2796.000,13084,689,0,26,23
rust,root-help,124,2381.584,0.000,2314.000,6672,351,0,1,1
rust,root-help,125,2731.782,0.000,2649.000,6472,349,0,1,1
